#4FGL LogParabola unIDs
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.0212    0.0975   1.5972e+00       6.7868    0.252       J0919.3+6607
 0.7413    0.3243   2.2856e+00       8.1613    4.341       J0919.5-6203
 0.4339    1.1829   1.3446e-01       5.4284    1.557       J0924.1-5202
 0.9996       nan   2.4205e+00       7.0472    4.248       J0926.1-5336
 0.0007    0.0853   7.4291e+19       5.6756    0.000       J0928.4-5256
 0.1196    0.1324   3.5056e+01       6.9445    0.953       J0930.9-3030
 0.3022    0.2255   6.0924e+00       6.5259    2.010       J0931.4-3559
 0.7087    0.0831   2.2083e+00      38.3652   14.810       J0933.8-6232
-0.0582    0.0617   2.4916e+03       7.5027    0.814       J0934.5+7223
 0.0815    0.0649   4.9275e-02      14.9250    1.473       J0935.3+0901
 0.0140    0.1052   8.4316e+07       4.6020    0.128       J0935.5+1152
-0.0016    0.0682   1.2983e+68       5.3408    0.000       J0937.6-3358
 0.1454    0.1582   7.2301e+00       5.2685    1.074       J0938.8+5155
 0.4657    0.1181   1.1079e+00      18.3585    6.048       J0940.3-7610
 0.3125    0.3866   4.2004e+00       5.6143    1.628       J0942.5+7620
 0.2986    0.1902   9.9357e+00       5.4946    1.841       J0944.7-5124
 0.4365    0.1617   2.8920e-01       9.2407    3.926       J0947.0-3548
 0.2356    0.1461   5.9247e-01       4.9020    2.116       J0947.8-4234
 0.4379    0.3072   2.6006e-01       4.1322    1.551       J0948.0-3859
 0.2893    0.2227   1.6992e+00       6.0960    1.524       J0949.8+7551
 0.7108    0.3408   2.8749e-01       6.1987    3.620       J0951.8-3711
 0.6879    0.1122   1.6642e+00      25.3196    9.976       J0953.6-1509
 0.2642    0.0549   4.2428e-01      25.0504    6.677       J0955.3-3949
 0.6718    0.3111   3.8739e-01       5.1281    3.594       J0955.8-4106
 0.7508    0.4159   5.2638e-01       5.3771    3.052       J0957.6-3051
 0.0890    0.1172   6.3166e-01       4.8246    0.848       J0957.6-5208
 0.9671    0.2851   3.5837e-01       5.7802    3.771       J1002.3-2810
 0.7742    0.3249   2.1614e+00       5.1016    3.183       J1004.6-5215
 0.1374    0.1365   5.2706e-03       6.4036    1.170       J1008.2-1000
 0.9468    0.2853   1.6441e+00       5.8185    3.370       J1011.4-5729
 0.7831    0.4708   2.9055e+00       5.6903    3.224       J1014.6+6126
 0.1992    0.1479   1.3243e+00       6.2107    1.681       J1015.1-6353
 0.1515    0.0765   5.2853e-02      11.7071    2.464       J1015.5-6030
 0.2192    0.0972   1.2408e+01      10.9688    2.859       J1016.1-4247
 0.1175    0.1117   2.7174e-01       5.5043    1.340       J1016.2-5729
 0.0795    0.1194   7.3590e+00       4.5890    0.743       J1017.4+5956
 0.2175    0.1628   3.5619e-01       4.4286    1.652       J1018.1-4051
 0.2176    0.1211   2.6485e-01       5.2747    2.304       J1018.1-2705
 0.0568    4.2574   1.7914e-01       4.5683    0.251       J1018.2+0145
 0.1973    0.1808   3.3035e-01       4.7674    1.474       J1018.3-0703
 0.6285    0.6176   7.9855e+01       4.1234    1.300       J1018.4+2210
 0.6074    0.3975   8.5314e+00       4.3819    2.295       J1019.3+5625
 0.3997    0.1912   1.0517e+00       7.0607    3.154       J1020.4-5314
-0.0859    0.0574   7.5432e+00       4.0746    1.412       J1021.8-6308
 0.6778    0.2049   1.4858e+00      12.4115    5.442       J1026.2-5731
-0.0692    0.0523   3.7822e+01       4.2221    1.107       J1028.1-3550
-0.0506    0.0515   1.8123e+01       4.6490    0.826       J1028.4-1539
-0.0789    0.0629   1.6007e+01       4.8943    0.997       J1029.4-0828
 0.1526    0.2004   4.4535e+00       4.4068    0.976       J1029.9+7335
-0.0193    0.0604   9.1421e+07       5.2599    0.280       J1030.7+6118
 0.0576    0.0094   3.1636e+01      37.2569    6.503       1036.3-5833e
 0.0149    0.0833   6.5975e-12       5.6215    0.189       J1036.5-1809
 0.2736    0.1064   1.1650e+00      11.6798    3.541       J1036.6-4349
 0.2604    0.0926   3.3215e-01      11.1981    4.306       J1037.8-5810
 0.0699    0.0889   3.5156e-02       8.0289    0.906       J1039.2+3258
-0.0209    0.0878   2.9292e+08       5.6318    0.217       J1043.0+5316
 0.3403    0.0806   6.2719e-01      14.4800    6.454       J1046.7-6010
 0.0662    0.1291   8.4892e+00       4.7438    0.531       J1047.2+6740
 0.2468    0.1799   4.2580e+01       5.4390    1.269       J1048.4-5030
 0.5457    0.1393   9.4114e-01      16.3627    7.920       J1048.5-5923
