#4FGL LogParabola blazars (bll+BLL)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
-0.0243    0.0413   7.3984e+00      11.3070    0.514       J0806.5+5930
 0.0802    0.0315   6.2536e-01      31.8470    2.989       J0807.1-0541
 0.0102    0.0403   1.0624e+04      12.3708    0.267       J0809.6+3455
 0.0413    0.0102   1.4200e+01      87.0045    4.419       J0809.8+5218
 0.0725    0.0185   5.8783e+00      50.8021    4.458       J0811.0-7529
 0.0606    0.0143   7.0139e-01      61.0798    4.811       J0811.4+0146
-0.0312    0.0380   1.2711e+00      15.2236    0.718       J0812.0+0237
 0.0760    0.1167   1.8873e-02       5.1598    0.719       J0812.3+1143
 0.0432    0.0774   3.6187e+00       9.3101    0.548       J0812.8+6507
 0.0533    0.0876   9.8306e-01       7.7015    0.605       J0812.9+5555
 0.0373    0.0330   1.0576e+00      22.7406    1.233       J0814.2-1013
 0.0961    0.1134   4.4160e+00       7.1256    0.953       J0814.4+2941
 0.0195    0.0162   2.9628e-03      44.0323    1.244       J0814.6+6430
 0.0709    0.0823   2.7243e+00       7.7373    0.967       J0816.1+4909
 0.0571    0.0226   1.1135e+00      37.2642    2.772       J0816.3+5739
